ROK;MIESIAC;OW_NFZ;NIP_PODMIOTU;KOD_PRODUKTU_KONTRAKTOWEGO;KOD_PRODUKTU_JEDNOSTKOWEGO;KOD_TRYBU_PRZYJECIA;KOD_TRYBU_WYPISU;PLEC_PACJENTA;GRUPA_WIEKOWA_PACJENTA;PRZEDZIAL_DLUGOSCI_TRWANIA_HOSPITALIZACJI;LICZBA_HOSPITALIZACJI
2022;4;"07";"1132866688";"03.4580.991.02";"5.51.01.0008013";6;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;8;"02";"5562239217";"03.4220.030.02";"5.51.01.0001087";3;2;"K";"45-64";"6 i więcej dni";"<5"
2022;1;"07";"7742411908";"03.4500.030.02";"5.51.01.0017007";2;9;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;9;"03";"7122409395";"03.4500.030.02";"5.51.01.0008083";3;2;"M";"45-64";"6 i więcej dni";"<5"
2022;11;"03";"9462146139";"03.4580.991.02";"5.51.01.0008015";6;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;9;"15";"7842008454";"03.4450.040.02";"5.51.01.0012014";3;2;"K";"65 i wiecej";"0 dni";"<5"
2022;4;"13";"6572195982";"03.4500.030.02";"5.51.01.0006109";6;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;1;"11";"5832580921";"03.4580.030.02";"5.51.01.0008099";6;2;"K";"45-64";"1-2 dni";"<5"
2022;9;"07";"1181417683";"03.4401.030.02";"5.51.01.0014004";3;2;"K";"0-17";"1-2 dni";"<5"
2022;7;"07";"7742411908";"03.4000.030.02";"5.51.01.0016056";3;1;"M";"45-64";"6 i więcej dni";"<5"
2022;12;"15";"7642088098";"03.4220.130.02";"5.51.01.0001048";2;9;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;6;"05";"8361081857";"03.4500.030.02";"5.51.01.0006072";6;2;"K";"18-44";"3-5 dni";"<5"
2022;4;"07";"8212056050";"03.4340.030.02";"5.51.01.0004018";2;1;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;3;"13";"9591294907";"03.4250.030.02";"5.51.01.0006103";6;2;"K";"65 i wiecej";"1-2 dni";"<5"
2022;7;"09";"7921805707";"03.4401.030.02";"5.51.01.0014003";3;1;"K";"0-17";"3-5 dni";"<5"
2022;10;"06";"6772247459";"03.4100.030.02";"5.51.01.0005032";6;2;"M";"45-64";"6 i więcej dni";"<5"
2022;4;"08";"7471571941";"03.4000.030.02";"5.51.01.0004028";3;1;"M";"65 i wiecej";"3-5 dni";"<5"
2022;7;"15";"7811619837";"03.4150.030.02";"5.51.01.0016062";8;3;"M";"18-44";"3-5 dni";"<5"
2022;9;"01";"9121650658";"03.4000.030.02";"5.51.01.0006036";6;2;"M";"45-64";"1-2 dni";"<5"
2022;10;"02";"8741484403";"03.4000.030.02";"5.51.01.0005094";3;2;"M";"45-64";"6 i więcej dni";"<5"
2022;4;"15";"7772754458";"03.4220.030.02";"5.51.01.0001045";3;1;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;3;"02";"8792076803";"03.4580.030.02";"5.51.01.0008063";3;2;"M";"45-64";"1-2 dni";"<5"
2022;9;"16";"8512537954";"03.4640.030.02";"5.51.01.0011026";6;1;"M";"65 i wiecej";"1-2 dni";"<5"
2022;1;"08";"7561747987";"03.4450.050.02";"5.51.01.0012015";3;2;"K";"65 i wiecej";"0 dni";"<5"
2022;6;"15";"7792033466";"03.4100.030.02";"5.51.01.0005094";3;1;"M";"18-44";"3-5 dni";"<5"
2022;3;"07";"5212932455";"03.4580.030.02";"5.51.01.0008084";3;2;"M";"18-44";"1-2 dni";"<5"
2022;5;"08";"7491790304";"03.4272.030.02";"5.51.01.0004050";6;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;1;"03";"7122410926";"03.4520.130.02";"5.51.01.0004002";3;2;"M";"45-64";"6 i więcej dni";"<5"
2022;6;"12";"6252247223";"03.4580.030.02";"5.51.01.0017007";2;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;3;"13";"9591291292";"03.4600.030.02";"5.51.01.0002017";6;1;"K";"65 i wiecej";"0 dni";"<5"
2022;3;"01";"8862385315";"03.4272.030.02";"5.51.01.0004050";6;2;"M";"65 i wiecej";"3-5 dni";"<5"
2022;1;"15";"6681580495";"03.4000.030.02";"5.51.01.0005094";3;2;"K";"65 i wiecej";"1-2 dni";"<5"
2022;3;"07";"5214004558";"03.4100.030.02";"5.51.01.0005057";6;2;"K";"65 i wiecej";"1-2 dni";"<5"
2022;5;"01";"6932175190";"03.4500.030.02";"5.51.01.0006100";3;2;"M";"45-64";"3-5 dni";"<5"
2022;11;"12";"9542274017";"03.4050.030.02";"5.51.01.0007035";6;2;"M";"65 i wiecej";"1-2 dni";"<5"
2022;10;"01";"8831598671";"03.4220.030.02";"5.51.01.0001067";2;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;12;"04";"9731025315";"03.4401.030.02";"5.51.01.0014004";3;2;"K";"0-17";"6 i więcej dni";"5"
2022;12;"06";"7361459982";"03.4580.030.02";"5.51.01.0008055";6;2;"M";"65 i wiecej";"1-2 dni";"<5"
2022;8;"12";"6381522246";"03.4421.150.02";"5.51.01.0013025";5;1;"K";"0-17";"6 i więcej dni";"<5"
2022;12;"01";"9151523806";"03.4401.030.02";"5.51.01.0014004";3;1;"K";"0-17";"1-2 dni";"<5"
2022;11;"01";"8981816856";"03.4000.030.02";"5.51.01.0004052";3;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;3;"10";"5422534985";"03.4610.998.02";"5.51.01.0003016";6;2;"M";"65 i wiecej";"3-5 dni";"<5"
2022;7;"06";"6762083306";"03.4100.030.02";"5.51.01.0005073";3;2;"M";"65 i wiecej";"3-5 dni";"<5"
2022;10;"13";"6551662705";"03.4272.030.02";"5.51.01.0004019";2;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;4;"12";"6442876726";"03.4000.030.02";"5.51.01.0015066";2;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;10;"12";"6342670310";"03.4580.030.02";"5.51.01.0017007";2;3;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;2;"12";"6262511259";"03.4401.030.02";"5.51.01.0014030";3;1;"M";"0-17";"3-5 dni";"<5"
2022;6;"12";"6252247223";"03.4000.030.02";"5.51.01.0007038";6;1;"K";"45-64";"3-5 dni";"<5"
2022;7;"12";"6321753077";"03.4501.030.02";"5.51.01.0014006";3;2;"M";"0-17";"1-2 dni";"<5"
2022;10;"14";"8451995130";"03.4220.130.02";"5.51.01.0001048";2;1;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;2;"12";"5482001181";"03.4500.030.02";"5.51.01.0006037";6;2;"K";"65 i wiecej";"1-2 dni";"<5"
2022;12;"09";"5170119412";"03.4220.030.02";"5.51.01.0001045";6;1;"K";"45-64";"1-2 dni";"<5"
2022;12;"15";"7811617330";"03.4530.040.02";"5.51.01.0015041";3;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;6;"09";"8132919313";"03.4600.030.02";"5.51.01.0002017";3;1;"M";"18-44";"6 i więcej dni";"<5"
2022;6;"02";"5581766857";"03.4450.040.02";"5.51.01.0012026";6;2;"K";"18-44";"0 dni";"<5"
2022;4;"06";"6772247459";"03.4100.030.02";"5.51.01.0005027";6;2;"M";"45-64";"1-2 dni";"9"
2022;11;"11";"5911694694";"03.4220.030.02";"5.51.01.0001057";3;2;"M";"18-44";"6 i więcej dni";"<5"
2022;10;"09";"6871640438";"03.4000.030.02";"5.51.01.0006100";6;2;"M";"45-64";"3-5 dni";"<5"
2022;5;"05";"7732419096";"03.4500.030.02";"5.51.01.0006062";3;2;"M";"18-44";"1-2 dni";"<5"
2022;1;"06";"9552268113";"03.4450.240.02";"5.51.01.0013001";3;2;"K";"18-44";"3-5 dni";"15"
2022;12;"09";"8652075413";"03.4100.030.02";"5.51.01.0005027";3;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;12;"14";"8451995130";"03.4000.030.02";"5.51.01.0004038";2;1;"K";"45-64";"3-5 dni";"<5"
2022;1;"07";"8261776028";"03.4401.030.02";"5.51.01.0014006";3;1;"M";"0-17";"6 i więcej dni";"<5"
2022;7;"10";"5422534063";"03.4611.030.02";"5.51.01.0018089";6;2;"M";"0-17";"3-5 dni";"<5"
2022;2;"12";"6452501353";"03.4000.030.02";"5.51.01.0007017";2;2;"M";"45-64";"6 i więcej dni";"<5"
2022;6;"02";"9561949580";"03.4500.030.02";"5.51.01.0007034";6;2;"M";"65 i wiecej";"3-5 dni";"<5"
2022;12;"06";"8691663456";"03.4401.030.02";"5.51.01.0014006";3;1;"M";"0-17";"1-2 dni";"<5"
2022;5;"07";"8381843603";"03.4000.030.02";"5.51.01.0005016";3;3;"M";"65 i wiecej";"3-5 dni";"<5"
2022;6;"07";"7962963679";"03.4501.030.02";"5.51.01.0018057";2;2;"K";"0-17";"6 i więcej dni";"<5"
2022;9;"11";"5911694694";"03.4220.030.02";"5.51.01.0001039";3;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;6;"13";"8641577743";"03.4220.030.02";"5.51.01.0001031";6;1;"M";"45-64";"6 i więcej dni";"<5"
2022;1;"15";"7772754458";"03.4100.030.02";"5.51.01.0015047";6;2;"M";"65 i wiecej";"1-2 dni";"<5"
2022;6;"07";"7962963679";"03.4100.130.02";"5.51.01.0005090";2;9;"M";"65 i wiecej";"1-2 dni";"<5"
2022;5;"09";"8131502114";"03.4050.030.02";"5.51.01.0007034";6;2;"K";"45-64";"1-2 dni";"<5"
2022;12;"07";"5110088286";"03.4401.030.02";"5.51.01.0004046";6;1;"M";"0-17";"3-5 dni";"<5"
2022;10;"06";"8681604021";"03.4401.030.02";"5.51.01.0014012";3;1;"K";"0-17";"1-2 dni";"5"
2022;12;"06";"6751199442";"03.4050.030.02";"5.51.01.0006096";6;1;"K";"18-44";"0 dni";"<5"
2022;12;"02";"8762008352";"03.4401.030.02";"5.51.01.0014012";3;1;"M";"0-17";"3-5 dni";"<5"
2022;8;"15";"6182025893";"03.4530.030.02";"5.51.01.0015013";3;2;"M";"45-64";"6 i więcej dni";"<5"
2022;1;"07";"5242688913";"03.4580.030.02";"5.51.01.0008109";3;2;"K";"65 i wiecej";"1-2 dni";"<5"
2022;9;"12";"6412490985";"03.4500.030.02";"5.51.01.0007044";6;3;"K";"45-64";"6 i więcej dni";"<5"
2022;8;"16";"6711030263";"03.4220.130.02";"5.51.01.0001048";2;3;"M";"45-64";"6 i więcej dni";"<5"
2022;3;"02";"5562239217";"03.4000.030.02";"5.51.01.0004038";2;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;5;"09";"7952066984";"03.4050.030.02";"5.51.01.0006099";2;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;2;"07";"5661019200";"03.4500.030.02";"5.51.01.0007037";2;2;"M";"18-44";"6 i więcej dni";"<5"
2022;4;"09";"7952066984";"03.4600.130.02";"5.51.01.0002101";6;1;"M";"45-64";"0 dni";"<5"
2022;5;"11";"5551783839";"03.4500.030.02";"5.51.01.0006042";6;1;"K";"45-64";"6 i więcej dni";"<5"
2022;6;"13";"6561855908";"03.4450.032.02";"5.51.01.0012003";6;2;"K";"45-64";"0 dni";"<5"
2022;8;"09";"8181429388";"03.4220.600.02";"5.51.01.0014023";6;2;"M";"0-17";"3-5 dni";"<5"
2022;7;"03";"5381594311";"03.4280.030.02";"5.51.01.0008104";3;2;"M";"45-64";"6 i więcej dni";"<5"
2022;8;"09";"7941527016";"03.4640.030.02";"5.51.01.0011000";6;1;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;5;"07";"5661019200";"03.4000.030.02";"5.51.01.0004028";3;1;"M";"18-44";"6 i więcej dni";"<5"
2022;9;"05";"7691787666";"03.4500.030.02";"5.51.01.0006052";3;2;"K";"45-64";"1-2 dni";"<5"
2022;1;"12";"6482301274";"03.4130.030.02";"5.51.01.0011105";2;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;9;"05";"7292242712";"03.4240.010.02";"5.51.01.0009002";6;2;"K";"45-64";"3-5 dni";"<5"
2022;2;"02";"8883117873";"03.4450.050.02";"5.51.01.0012004";3;2;"K";"18-44";"0 dni";"<5"
2022;10;"05";"7272307029";"03.4000.030.02";"5.51.01.0005057";3;2;"M";"45-64";"1-2 dni";"<5"
2022;9;"05";"7272307029";"03.4000.030.02";"5.51.01.0007037";2;4;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;2;"15";"7792033466";"03.4580.030.02";"5.51.01.0008083";6;2;"M";"18-44";"3-5 dni";"<5"
2022;10;"07";"5250008838";"03.4272.998.02";"5.51.01.0004028";6;1;"K";"45-64";"3-5 dni";"<5"
2022;2;"11";"5862286770";"03.4000.030.02";"5.51.01.0016056";2;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;3;"10";"7191361728";"03.4500.030.02";"5.51.01.0008058";3;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;2;"16";"9551908958";"03.4530.040.02";"5.51.01.0015066";6;2;"M";"45-64";"1-2 dni";"<5"
2022;5;"15";"6661889172";"03.4401.030.02";"5.51.01.0014015";3;2;"K";"0-17";"1-2 dni";"<5"
2022;9;"07";"5242688913";"03.4050.030.02";"5.51.01.0006112";3;2;"M";"18-44";"3-5 dni";"<5"
2022;5;"05";"7292345599";"03.4530.040.02";"5.51.01.0015014";2;6;"K";"18-44";"1-2 dni";"<5"
2022;2;"06";"6772081964";"03.4272.030.02";"5.51.01.0004045";3;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;11;"07";"5661019200";"03.4610.030.02";"5.51.01.0003016";6;2;"K";"18-44";"1-2 dni";"<5"
2022;5;"13";"6641873185";"03.4450.050.02";"5.51.01.0006046";6;1;"K";"65 i wiecej";"3-5 dni";"<5"
2022;7;"05";"8271831912";"03.4580.030.02";"5.51.01.0008021";6;1;"M";"18-44";"1-2 dni";"<5"
2022;2;"03";"7122410926";"03.4050.030.02";"5.51.01.0007018";6;2;"K";"18-44";"3-5 dni";"<5"
2022;1;"12";"6422585351";"03.4640.030.02";"5.51.01.0011015";3;1;"K";"18-44";"3-5 dni";"<5"
2022;6;"02";"8762008352";"03.4610.030.02";"5.51.01.0003016";6;2;"K";"45-64";"3-5 dni";"<5"
2022;12;"12";"6331045778";"03.4100.030.02";"5.51.01.0005077";3;2;"M";"18-44";"3-5 dni";"<5"
2022;4;"06";"8711536472";"03.4580.030.02";"5.51.01.0008021";3;2;"M";"18-44";"3-5 dni";"<5"
2022;10;"06";"6821436049";"03.4220.030.02";"5.51.01.0001049";6;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;8;"05";"7292345599";"03.4500.030.02";"5.51.01.0010027";6;2;"K";"45-64";"1-2 dni";"<5"
2022;1;"07";"5250011042";"03.4280.030.02";"5.51.01.0008103";6;2;"K";"18-44";"0 dni";"<5"
2022;1;"04";"8522521096";"03.4421.140.02";"5.51.01.0013020";5;1;"K";"0-17";"3-5 dni";"7"
2022;9;"02";"8762008352";"03.4610.030.02";"5.51.01.0003057";3;6;"M";"45-64";"1-2 dni";"<5"
2022;2;"02";"9561949580";"03.4610.030.02";"5.51.01.0003016";6;2;"M";"18-44";"3-5 dni";"<5"
2022;1;"03";"7122483842";"03.4000.030.02";"5.51.01.0004048";6;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;8;"15";"7871808424";"03.4580.991.02";"5.51.01.0008014";6;2;"M";"45-64";"3-5 dni";"<5"
2022;3;"15";"7781350016";"03.4000.030.02";"5.51.01.0005094";2;9;"K";"65 i wiecej";"1-2 dni";"<5"
2022;9;"01";"8981816856";"03.4100.030.02";"5.51.01.0005050";2;1;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;4;"03";"7122410926";"03.4450.060.02";"5.51.01.0013014";6;1;"K";"18-44";"6 i więcej dni";"<5"
2022;11;"06";"6751199442";"03.4030.030.02";"5.51.01.0012030";6;2;"K";"18-44";"0 dni";"<5"
2022;3;"11";"5811956717";"03.4272.030.02";"5.51.01.0004055";6;1;"M";"65 i wiecej";"3-5 dni";"<5"
2022;4;"07";"5220002529";"03.4401.030.02";"5.51.01.0014006";3;1;"M";"0-17";"6 i więcej dni";"<5"
2022;12;"12";"9691554118";"03.4000.030.02";"5.51.01.0006037";6;2;"K";"45-64";"1-2 dni";"<5"
2022;10;"11";"9570730409";"03.4100.030.02";"5.51.01.0005027";6;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;5;"13";"6611959864";"03.4000.030.02";"5.51.01.0016005";3;2;"K";"45-64";"6 i więcej dni";"<5"
2022;5;"15";"7811619837";"03.4020.030.02";"5.51.01.0010066";3;2;"M";"18-44";"3-5 dni";"<5"
2022;8;"07";"5242688913";"03.4100.030.02";"5.51.01.0005061";3;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;6;"12";"4980248112";"03.4000.030.02";"5.51.01.0006106";3;2;"M";"18-44";"6 i więcej dni";"<5"
2022;5;"04";"5993168108";"03.4500.030.02";"5.51.01.0007034";3;2;"K";"65 i wiecej";"1-2 dni";"<5"
2022;6;"16";"8561846307";"03.4500.030.02";"5.51.01.0006072";6;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;11;"12";"6342457154";"03.4640.030.02";"5.51.01.0011054";3;2;"M";"65 i wiecej";"0 dni";"<5"
2022;12;"09";"8141468382";"03.4640.030.02";"5.51.01.0011086";6;1;"M";"65 i wiecej";"0 dni";"<5"
2022;10;"07";"5242688913";"03.4450.260.02";"5.51.01.0013002";2;1;"K";"18-44";"1-2 dni";"<5"
2022;12;"01";"8981816856";"03.4131.030.02";"5.51.01.0014018";6;1;"M";"0-17";"3-5 dni";"<5"
2022;4;"12";"9372662340";"03.4540.030.02";"5.51.01.0006013";3;1;"M";"65 i wiecej";"3-5 dni";"<5"
2022;3;"12";"9691554118";"03.4000.030.02";"5.51.01.0005016";3;3;"K";"65 i wiecej";"0 dni";"<5"
2022;3;"06";"6792525795";"03.4071.030.02";"5.51.01.0014027";6;2;"M";"0-17";"3-5 dni";"<5"
2022;10;"08";"7542557814";"03.4250.930.02";"5.51.01.0012020";6;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;10;"07";"7962963679";"03.4580.991.02";"5.51.01.0008015";6;2;"K";"45-64";"3-5 dni";"<5"
2022;11;"07";"1181417683";"03.4530.030.02";"5.51.01.0015017";3;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;10;"11";"5811956717";"03.4520.130.02";"5.51.01.0004002";6;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;3;"08";"9910498289";"03.4000.030.02";"5.51.01.0006100";6;2;"K";"18-44";"6 i więcej dni";"<5"
2022;9;"06";"7831559498";"03.4130.030.02";"5.51.01.0011106";6;1;"K";"18-44";"6 i więcej dni";"<5"
2022;2;"07";"7611333881";"03.4450.040.02";"5.51.01.0012030";6;2;"K";"18-44";"0 dni";"<5"
2022;4;"07";"5242688913";"03.4580.030.02";"5.51.01.0008063";6;2;"K";"65 i wiecej";"1-2 dni";"10"
2022;4;"15";"7781350016";"03.4500.030.02";"5.51.01.0009032";6;2;"M";"18-44";"0 dni";"<5"
2022;11;"12";"6262510567";"03.4500.030.02";"5.51.01.0006072";6;2;"M";"65 i wiecej";"3-5 dni";"<5"
2022;2;"03";"7122410926";"03.4610.998.02";"5.51.01.0010003";6;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;7;"05";"7260004820";"03.4240.010.02";"5.51.01.0009002";11;1;"K";"45-64";"1-2 dni";"<5"
2022;1;"07";"5220002529";"03.4051.030.02";"5.51.01.0014012";3;2;"K";"0-17";"6 i więcej dni";"<5"
2022;7;"11";"5833162278";"03.4500.030.02";"5.51.01.0007044";6;2;"K";"18-44";"3-5 dni";"<5"
2022;8;"07";"5661019200";"03.4640.030.02";"5.51.01.0011015";3;2;"M";"18-44";"1-2 dni";"<5"
2022;12;"07";"5311331954";"03.4000.030.02";"5.51.01.0016005";2;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;5;"07";"5252491419";"03.4580.030.02";"5.51.01.0008067";3;9;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;12;"09";"8721907964";"03.4000.030.02";"5.51.01.0011105";3;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;1;"07";"5291004702";"03.4570.030.02";"5.51.01.0008051";3;1;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;6;"14";"7451593187";"03.4500.030.02";"5.51.01.0006072";6;2;"K";"65 i wiecej";"3-5 dni";"<5"
2022;8;"05";"7681534113";"03.4401.030.02";"5.51.01.0014023";2;3;"M";"0-17";"0 dni";"<5"
2022;12;"15";"7851793027";"03.4580.030.02";"5.51.01.0008053";6;1;"M";"65 i wiecej";"3-5 dni";"<5"
2022;1;"12";"9542269625";"03.4100.030.02";"5.51.01.0004016";3;2;"K";"18-44";"3-5 dni";"<5"
2022;6;"14";"7122410820";"03.4600.031.02";"5.51.01.0002053";6;1;"K";"65 i wiecej";"0 dni";"<5"
2022;1;"14";"7392955794";"03.4100.030.02";"5.51.01.0005062";3;2;"K";"45-64";"3-5 dni";"<5"
2022;1;"06";"6751199442";"03.4450.260.02";"5.51.01.0013009";2;1;"K";"18-44";"6 i więcej dni";"<5"
2022;3;"01";"6151706942";"03.4240.030.02";"5.51.01.0016004";6;1;"K";"65 i wiecej";"1-2 dni";"<5"
2022;5;"15";"7671449305";"03.4401.030.02";"5.51.01.0014023";2;2;"M";"0-17";"1-2 dni";"<5"
2022;5;"15";"9231506721";"03.4401.030.02";"5.51.01.0014005";6;2;"M";"0-17";"3-5 dni";"<5"
2022;1;"12";"6412490985";"03.4401.030.02";"5.51.01.0014047";3;2;"K";"0-17";"1-2 dni";"<5"
2022;12;"06";"8681604021";"03.4000.030.02";"5.51.01.0005094";2;3;"M";"45-64";"3-5 dni";"<5"
2022;10;"12";"6342309181";"03.4000.030.02";"5.51.01.0011105";3;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;2;"12";"6351572989";"03.4580.991.02";"5.51.01.0008014";6;1;"K";"45-64";"6 i więcej dni";"<5"
2022;9;"07";"1250931792";"03.4220.130.02";"5.51.01.0001048";3;2;"K";"65 i wiecej";"6 i więcej dni";"<5"
2022;5;"11";"5911694694";"03.4280.030.02";"5.51.01.0008098";6;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;5;"15";"7792033466";"03.4100.030.02";"5.51.01.0005092";6;1;"M";"45-64";"3-5 dni";"<5"
2022;7;"06";"6782680028";"03.4580.030.02";"5.51.01.0008021";6;2;"M";"18-44";"1-2 dni";"<5"
2022;6;"06";"6811690668";"03.4500.030.02";"5.51.01.0006036";3;2;"K";"45-64";"6 i więcej dni";"<5"
2022;7;"15";"7781350016";"03.4580.030.02";"5.51.01.0004007";2;2;"M";"45-64";"3-5 dni";"<5"
2022;4;"09";"8131501971";"03.4500.030.02";"5.51.01.0006083";6;2;"K";"45-64";"1-2 dni";"<5"
2022;5;"01";"8981816856";"03.4610.130.02";"5.51.01.0003065";6;1;"M";"18-44";"3-5 dni";"<5"
2022;12;"15";"6651042675";"03.4501.030.02";"5.51.01.0018050";6;2;"K";"0-17";"1-2 dni";"<5"
2022;2;"04";"5993168108";"03.4030.030.02";"5.51.01.0010027";3;1;"K";"18-44";"1-2 dni";"<5"
2022;4;"08";"7543106048";"03.4000.030.02";"5.51.01.0004048";2;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;7;"09";"6871640438";"03.4272.030.02";"5.51.01.0004062";6;2;"M";"45-64";"3-5 dni";"<5"
2022;11;"07";"5220002529";"03.4610.030.02";"5.51.01.0003031";3;2;"M";"18-44";"6 i więcej dni";"<5"
2022;8;"14";"7122410820";"03.4000.030.02";"5.51.01.0016056";2;6;"M";"18-44";"3-5 dni";"<5"
2022;9;"08";"7491790304";"03.4000.030.02";"5.51.01.0007017";3;2;"K";"45-64";"6 i więcej dni";"<5"
2022;12;"07";"9521143675";"03.4501.030.02";"5.51.01.0018045";6;2;"K";"0-17";"3-5 dni";"<5"
2022;5;"03";"5641475805";"03.4500.030.02";"5.51.01.0007016";6;3;"M";"18-44";"6 i więcej dni";"<5"
2022;11;"05";"7272392503";"03.4500.030.02";"5.51.01.0006046";2;2;"M";"65 i wiecej";"6 i więcej dni";"<5"
2022;8;"02";"9532582266";"03.4610.030.02";"5.51.01.0003012";3;2;"M";"18-44";"3-5 dni";"<5"
2022;1;"05";"7272392503";"03.4000.030.02";"5.51.01.0004028";6;1;"M";"45-64";"6 i więcej dni";"<5"
